Jurisdiction,LGA,Year,Total Early Payment,Total Financial Assistance Grant (inc Early Payment),,,
New South Wales,Council of the Municipality of Woollahra,2020-21,"$891,265","$1,687,615",,,
New South Wales,Council of the Municipality of Woollahra,2021-22,"$852,664","$1,761,607",,,
New South Wales,Council of the Municipality of Woollahra,2022-23,"$1,397,274","$1,846,100",,,
New South Wales,Council of the Municipality of Woollahra,2023-24,"$1,972,866","$1,986,691",,,
New South Wales,Cowra Shire Council,2017-18,"$2,171,015","$4,332,182",,,
New South Wales,Cowra Shire Council,2018-19,"$2,248,178","$4,590,569",,,
New South Wales,Cowra Shire Council,2019-20,"$2,428,994","$4,763,573",,,
New South Wales,Cowra Shire Council,2020-21,"$2,474,471","$4,825,744",,,
New South Wales,Cowra Shire Council,2021-22,"$2,517,946","$5,127,255",,,
New South Wales,Cowra Shire Council,2022-23,"$4,012,019","$5,557,425",,,
New South Wales,Cowra Shire Council,2023-24,"$5,943,657","$6,282,246",,,
New South Wales,Cumberland Council,2017-18,"$4,313,191","$7,439,397",,,
New South Wales,Cumberland Council,2018-19,"$3,861,593","$8,090,739",,,
New South Wales,Cumberland Council,2019-20,"$4,385,062","$8,121,998",,,
New South Wales,Cumberland Council,2020-21,"$3,960,114","$8,165,731",,,
New South Wales,Cumberland Council,2021-22,"$4,501,879","$8,474,562",,,
New South Wales,Cumberland Council,2022-23,"$6,106,699","$8,782,366",,,
New South Wales,Cumberland Council,2023-24,"$9,382,878","$9,598,644",,,
New South Wales,Dubbo Regional Council,2017-18,"$5,465,951","$11,117,405",,,
New South Wales,Dubbo Regional Council,2018-19,"$5,769,388","$11,409,018",,,
New South Wales,Dubbo Regional Council,2019-20,"$5,848,099","$11,545,307",,,
New South Wales,Dubbo Regional Council,2020-21,"$6,038,237","$11,670,820",,,
New South Wales,Dubbo Regional Council,2021-22,"$6,031,862","$12,176,031",,,
New South Wales,Dubbo Regional Council,2022-23,"$9,446,716","$12,855,982",,,
New South Wales,Dubbo Regional Council,2023-24,"$13,742,014","$14,338,089",,,
New South Wales,Dungog Shire Council,2017-18,"$1,208,583","$2,443,256",,,
New South Wales,Dungog Shire Council,2018-19,"$1,267,848","$2,576,026",,,
New South Wales,Dungog Shire Council,2019-20,"$1,356,590","$2,677,806",,,
New South Wales,Dungog Shire Council,2020-21,"$1,400,552","$2,712,179",,,
New South Wales,Dungog Shire Council,2021-22,"$1,404,795","$2,932,545",,,
New South Wales,Dungog Shire Council,2022-23,"$2,349,390","$3,176,485",,,
New South Wales,Dungog Shire Council,2023-24,"$3,397,295","$3,593,127",,,
New South Wales,Edward River Council,2017-18,"$2,550,522","$5,155,156",,,
New South Wales,Edward River Council,2018-19,"$2,675,287","$5,433,095",,,
New South Wales,Edward River Council,2019-20,"$2,859,685","$5,637,847",,,
New South Wales,Edward River Council,2020-21,"$2,944,332","$5,738,968",,,
New South Wales,Edward River Council,2021-22,"$2,992,342","$6,063,934",,,
New South Wales,Edward River Council,2022-23,"$4,722,095","$6,521,042",,,
New South Wales,Edward River Council,2023-24,"$6,972,901","$7,305,980",,,
New South Wales,Eurobodalla Shire Council,2017-18,"$3,348,520","$6,770,692",,,
New South Wales,Eurobodalla Shire Council,2018-19,"$3,513,846","$6,956,597",,,
New South Wales,Eurobodalla Shire Council,2019-20,"$3,569,812","$7,110,631",,,
New South Wales,Eurobodalla Shire Council,2020-21,"$3,752,200","$7,179,133",,,
New South Wales,Eurobodalla Shire Council,2021-22,"$3,668,943","$7,513,155",,,
New South Wales,Eurobodalla Shire Council,2022-23,"$5,908,903","$7,998,655",,,
New South Wales,Eurobodalla Shire Council,2023-24,"$8,550,894","$9,016,328",,,
New South Wales,Fairfield City Council,2017-18,"$4,902,744","$9,114,534",,,
New South Wales,Fairfield City Council,2018-19,"$4,731,272","$9,186,044",,,
New South Wales,Fairfield City Council,2019-20,"$4,618,986","$9,106,233",,,
New South Wales,Fairfield City Council,2020-21,"$4,754,548","$9,145,975",,,
New South Wales,Fairfield City Council,2021-22,"$4,700,711","$9,480,387",,,
New South Wales,Fairfield City Council,2022-23,"$7,345,282","$9,814,682",,,
New South Wales,Fairfield City Council,2023-24,"$10,485,263","$10,654,165",,,
New South Wales,Federation Council,2017-18,"$3,220,587","$6,510,294",,,
New South Wales,Federation Council,2018-19,"$3,378,407","$6,762,547",,,
New South Wales,Federation Council,2019-20,"$3,509,311","$7,014,923",,,
New South Wales,Federation Council,2020-21,"$3,715,758","$7,096,215",,,
New South Wales,Federation Council,2021-22,"$3,620,307","$7,450,926",,,
New South Wales,Federation Council,2022-23,"$5,890,357","$7,950,805",,,
New South Wales,Federation Council,2023-24,"$8,500,916","$8,885,552",,,
New South Wales,Forbes Shire Council,2017-18,"$2,491,147","$5,040,676",,,
New South Wales,Forbes Shire Council,2018-19,"$2,615,671","$5,342,677",,,
New South Wales,Forbes Shire Council,2019-20,"$2,827,944","$5,552,448",,,
New South Wales,Forbes Shire Council,2020-21,"$2,888,146","$5,629,449",,,
New South Wales,Forbes Shire Council,2021-22,"$2,936,088","$5,967,993",,,
New South Wales,Forbes Shire Council,2022-23,"$4,662,859","$6,471,321",,,
New South Wales,Forbes Shire Council,2023-24,"$6,921,472","$7,276,453",,,
New South Wales,Georges River Council,2017-18,"$2,063,229","$4,106,658",,,
New South Wales,Georges River Council,2018-19,"$2,131,272","$4,368,224",,,
New South Wales,Georges River Council,2019-20,"$2,319,539","$4,480,218",,,
New South Wales,Georges River Council,2020-21,"$2,289,863","$4,484,412",,,
New South Wales,Georges River Council,2021-22,"$2,349,547","$4,700,133",,,
New South Wales,Georges River Council,2022-23,"$3,613,550","$4,967,318",,,
New South Wales,Georges River Council,2023-24,"$5,309,388","$5,402,700",,,
New South Wales,Gilgandra Council,2017-18,"$1,787,643","$3,606,042",,,
New South Wales,Gilgandra Council,2018-19,"$1,871,223","$3,843,996",,,
New South Wales,Gilgandra Council,2019-20,"$2,045,788","$3,981,164",,,
New South Wales,Gilgandra Council,2020-21,"$2,051,489","$4,092,301",,,
New South Wales,Gilgandra Council,2021-22,"$2,185,733","$4,371,604",,,
New South Wales,Gilgandra Council,2022-23,"$3,361,254","$4,750,004",,,
