Jurisdiction,LGA,Year,Total Early Payment,Total Financial Assistance Grant (inc Early Payment),,,
New South Wales,Gilgandra Council,2023-24,"$5,080,503","$5,374,075",,,
New South Wales,Glen Innes Severn Council,2017-18,"$1,920,835","$3,884,336",,,
New South Wales,Glen Innes Severn Council,2018-19,"$2,015,682","$4,119,501",,,
New South Wales,Glen Innes Severn Council,2019-20,"$2,181,640","$4,287,842",,,
New South Wales,Glen Innes Severn Council,2020-21,"$2,232,533","$4,343,925",,,
New South Wales,Glen Innes Severn Council,2021-22,"$2,261,178","$4,640,018",,,
New South Wales,Glen Innes Severn Council,2022-23,"$3,657,967","$5,020,968",,,
New South Wales,Glen Innes Severn Council,2023-24,"$5,369,564","$5,699,986",,,
New South Wales,Goulburn Mulwaree Council,2017-18,"$2,386,761","$4,825,965",,,
New South Wales,Goulburn Mulwaree Council,2018-19,"$2,504,322","$5,042,082",,,
New South Wales,Goulburn Mulwaree Council,2019-20,"$2,631,643","$5,201,137",,,
New South Wales,Goulburn Mulwaree Council,2020-21,"$2,723,647","$5,268,707",,,
New South Wales,Goulburn Mulwaree Council,2021-22,"$2,725,817","$5,618,609",,,
New South Wales,Goulburn Mulwaree Council,2022-23,"$4,448,818","$6,065,350",,,
New South Wales,Goulburn Mulwaree Council,2023-24,"$6,486,671","$6,825,005",,,
New South Wales,Greater Hume Shire Council,2017-18,"$2,455,291","$4,962,679",,,
New South Wales,Greater Hume Shire Council,2018-19,"$2,575,131","$5,248,148",,,
New South Wales,Greater Hume Shire Council,2019-20,"$2,772,029","$5,443,975",,,
New South Wales,Greater Hume Shire Council,2020-21,"$2,832,653","$5,531,561",,,
New South Wales,Greater Hume Shire Council,2021-22,"$2,891,045","$5,868,230",,,
New South Wales,Greater Hume Shire Council,2022-23,"$4,579,370","$6,364,046",,,
New South Wales,Greater Hume Shire Council,2023-24,"$6,807,059","$7,174,156",,,
New South Wales,Griffith City Council,2017-18,"$2,549,230","$5,153,347",,,
New South Wales,Griffith City Council,2018-19,"$2,674,302","$5,455,157",,,
New South Wales,Griffith City Council,2019-20,"$2,883,630","$5,673,941",,,
New South Wales,Griffith City Council,2020-21,"$2,957,379","$5,750,725",,,
New South Wales,Griffith City Council,2021-22,"$2,991,183","$6,110,638",,,
New South Wales,Griffith City Council,2022-23,"$4,796,082","$6,597,810",,,
New South Wales,Griffith City Council,2023-24,"$7,055,305","$7,396,177",,,
New South Wales,Gunnedah Shire Council,2017-18,"$2,108,423","$4,261,115",,,
New South Wales,Gunnedah Shire Council,2018-19,"$2,211,162","$4,499,314",,,
New South Wales,Gunnedah Shire Council,2019-20,"$2,372,830","$4,674,057",,,
New South Wales,Gunnedah Shire Council,2020-21,"$2,439,405","$4,732,630",,,
New South Wales,Gunnedah Shire Council,2021-22,"$2,456,112","$5,045,798",,,
New South Wales,Gunnedah Shire Council,2022-23,"$3,982,575","$5,469,582",,,
New South Wales,Gunnedah Shire Council,2023-24,"$5,849,944","$6,188,623",,,
New South Wales,Gwydir Shire Council,2017-18,"$2,130,102","$4,253,989",,,
New South Wales,Gwydir Shire Council,2018-19,"$2,207,330","$4,542,007",,,
New South Wales,Gwydir Shire Council,2019-20,"$2,421,194","$4,722,186",,,
New South Wales,Gwydir Shire Council,2020-21,"$2,439,504","$4,838,279",,,
New South Wales,Gwydir Shire Council,2021-22,"$2,569,585","$5,158,118",,,
New South Wales,Gwydir Shire Council,2022-23,"$3,981,672","$5,656,303",,,
New South Wales,Gwydir Shire Council,2023-24,"$6,051,440","$6,809,001",,,
New South Wales,Hawkesbury City Council,2017-18,"$2,175,796","$4,380,704",,,
New South Wales,Hawkesbury City Council,2018-19,"$2,273,179","$4,446,187",,,
New South Wales,Hawkesbury City Council,2019-20,"$2,253,521","$4,436,429",,,
New South Wales,Hawkesbury City Council,2020-21,"$2,314,247","$4,463,453",,,
New South Wales,Hawkesbury City Council,2021-22,"$2,302,287","$4,637,223",,,
New South Wales,Hawkesbury City Council,2022-23,"$3,591,700","$4,843,475",,,
New South Wales,Hawkesbury City Council,2023-24,"$5,176,492","$5,279,328",,,
New South Wales,Hay Shire Council,2017-18,"$1,387,853","$2,612,035",,,
New South Wales,Hay Shire Council,2018-19,"$1,355,706","$2,855,578",,,
New South Wales,Hay Shire Council,2019-20,"$1,555,267","$3,090,917",,,
New South Wales,Hay Shire Council,2020-21,"$1,627,459","$3,237,952",,,
New South Wales,Hay Shire Council,2021-22,"$1,724,278","$3,511,939",,,
New South Wales,Hay Shire Council,2022-23,"$2,747,961","$3,863,175",,,
New South Wales,Hay Shire Council,2023-24,"$4,132,632","$4,419,199",,,
New South Wales,Hilltops Council,2017-18,"$3,769,117","$7,634,947",,,
New South Wales,Hilltops Council,2018-19,"$3,961,930","$7,984,513",,,
New South Wales,Hilltops Council,2019-20,"$4,171,450","$8,189,542",,,
New South Wales,Hilltops Council,2020-21,"$4,259,280","$8,296,368",,,
New South Wales,Hilltops Council,2021-22,"$4,323,845","$8,769,264",,,
New South Wales,Hilltops Council,2022-23,"$6,836,586","$9,410,390",,,
New South Wales,Hilltops Council,2023-24,"$10,062,735","$10,517,613",,,
New South Wales,Hornsby Shire Council,2017-18,"$2,219,700","$4,514,936",,,
New South Wales,Hornsby Shire Council,2018-19,"$2,343,082","$4,481,118",,,
New South Wales,Hornsby Shire Council,2019-20,"$2,217,059","$4,560,732",,,
New South Wales,Hornsby Shire Council,2020-21,"$2,484,154","$4,651,858",,,
New South Wales,Hornsby Shire Council,2021-22,"$2,321,386","$4,861,454",,,
New South Wales,Hornsby Shire Council,2022-23,"$3,905,768","$5,117,811",,,
New South Wales,Hornsby Shire Council,2023-24,"$5,470,049","$5,767,857",,,
New South Wales,Hunter's Hill Council,2017-18,"$224,636","$445,703",,,
New South Wales,Hunter's Hill Council,2018-19,"$231,297","$465,162",,,
New South Wales,Hunter's Hill Council,2019-20,"$242,512","$478,652",,,
New South Wales,Hunter's Hill Council,2020-21,"$250,292","$464,745",,,
New South Wales,Hunter's Hill Council,2021-22,"$229,614","$494,536",,,
New South Wales,Hunter's Hill Council,2022-23,"$407,303","$532,134",,,
New South Wales,Hunter's Hill Council,2023-24,"$568,999","$592,856",,,
New South Wales,Inner West Council,2017-18,"$2,844,000","$5,313,830",,,
New South Wales,Inner West Council,2018-19,"$2,758,165","$5,410,499",,,
New South Wales,Inner West Council,2019-20,"$2,750,266","$5,525,927",,,
New South Wales,Inner West Council,2020-21,"$2,941,415","$5,597,828",,,
New South Wales,Inner West Council,2021-22,"$2,844,158","$5,868,454",,,
New South Wales,Inner West Council,2022-23,"$4,648,700","$6,178,414",,,
New South Wales,Inner West Council,2023-24,"$6,603,268","$6,655,076",,,
New South Wales,Inverell Shire Council,2017-18,"$2,771,587","$5,603,962",,,
New South Wales,Inverell Shire Council,2018-19,"$2,908,011","$5,913,259",,,
New South Wales,Inverell Shire Council,2019-20,"$3,116,444","$6,135,368",,,
New South Wales,Inverell Shire Council,2020-21,"$3,200,114","$6,211,364",,,
New South Wales,Inverell Shire Council,2021-22,"$3,225,058","$6,760,484",,,
New South Wales,Inverell Shire Council,2022-23,"$5,437,647","$7,325,779",,,
New South Wales,Inverell Shire Council,2023-24,"$7,835,183","$8,281,713",,,
New South Wales,Junee Shire Council,2017-18,"$1,326,128","$2,675,653",,,
New South Wales,Junee Shire Council,2018-19,"$1,388,478","$2,837,171",,,
New South Wales,Junee Shire Council,2019-20,"$1,502,275","$2,940,138",,,
New South Wales,Junee Shire Council,2020-21,"$1,524,066","$2,975,250",,,
New South Wales,Junee Shire Council,2021-22,"$1,554,137","$3,187,001",,,
New South Wales,Junee Shire Council,2022-23,"$2,510,718","$3,454,607",,,
New South Wales,Junee Shire Council,2023-24,"$3,694,745","$3,884,472",,,
New South Wales,Kempsey Shire Council,2017-18,"$2,833,318","$5,724,406",,,
New South Wales,Kempsey Shire Council,2018-19,"$2,970,634","$6,004,303",,,
New South Wales,Kempsey Shire Council,2019-20,"$3,145,808","$6,214,002",,,
New South Wales,Kempsey Shire Council,2020-21,"$3,251,995","$6,198,866",,,
New South Wales,Kempsey Shire Council,2021-22,"$3,155,516","$6,648,248",,,
New South Wales,Kempsey Shire Council,2022-23,"$5,370,738","$7,184,314",,,
New South Wales,Kempsey Shire Council,2023-24,"$7,683,132","$8,127,363",,,
New South Wales,Kiama Municipal Council,2017-18,"$769,210","$1,586,950",,,
New South Wales,Kiama Municipal Council,2018-19,"$823,542","$1,671,503",,,
New South Wales,Kiama Municipal Council,2019-20,"$879,307","$1,710,777",,,
New South Wales,Kiama Municipal Council,2020-21,"$881,232","$1,741,893",,,
New South Wales,Kiama Municipal Council,2021-22,"$921,700","$1,871,291",,,
New South Wales,Kiama Municipal Council,2022-23,"$1,459,798","$2,019,086",,,
New South Wales,Kiama Municipal Council,2023-24,"$2,159,118","$2,266,786",,,
New South Wales,Ku-Ring-Gai Council,2017-18,"$1,819,335","$3,614,164",,,
New South Wales,Ku-Ring-Gai Council,2018-19,"$1,875,600","$3,714,465",,,
New South Wales,Ku-Ring-Gai Council,2019-20,"$1,906,839","$3,777,416",,,
New South Wales,Ku-Ring-Gai Council,2020-21,"$1,982,602","$3,809,126",,,
New South Wales,Ku-Ring-Gai Council,2021-22,"$1,955,941","$4,001,618",,,
New South Wales,Ku-Ring-Gai Council,2022-23,"$3,145,377","$4,229,984",,,
New South Wales,Ku-Ring-Gai Council,2023-24,"$4,521,550","$4,673,043",,,
New South Wales,Kyogle Council,2017-18,"$2,036,293","$4,116,442",,,
New South Wales,Kyogle Council,2018-19,"$2,136,043","$4,349,797",,,
New South Wales,Kyogle Council,2019-20,"$2,295,707","$4,534,467",,,
New South Wales,Kyogle Council,2020-21,"$2,373,295","$4,591,762",,,
New South Wales,Kyogle Council,2021-22,"$2,376,071","$4,899,468",,,
New South Wales,Kyogle Council,2022-23,"$3,880,896","$5,324,303",,,
New South Wales,Kyogle Council,2023-24,"$5,694,742","$6,058,925",,,
New South Wales,Lachlan Council,2017-18,"$4,309,727","$8,712,172",,,
New South Wales,Lachlan Council,2018-19,"$4,520,838","$9,054,764",,,
New South Wales,Lachlan Council,2019-20,"$4,701,812","$9,376,722",,,
New South Wales,Lachlan Council,2020-21,"$4,955,782","$9,602,364",,,
New South Wales,Lachlan Council,2021-22,"$4,976,901","$10,195,001",,,
New South Wales,Lachlan Council,2022-23,"$8,025,275","$10,957,829",,,
New South Wales,Lachlan Council,2023-24,"$11,718,061","$12,365,761",,,
New South Wales,Lake Macquarie City Council,2017-18,"$7,869,374","$15,888,548",,,
New South Wales,Lake Macquarie City Council,2018-19,"$8,246,326","$16,225,448",,,
New South Wales,Lake Macquarie City Council,2019-20,"$8,273,122","$16,424,972",,,
New South Wales,Lake Macquarie City Council,2020-21,"$8,636,937","$16,503,415",,,
New South Wales,Lake Macquarie City Council,2021-22,"$8,420,009","$17,141,905",,,
New South Wales,Lake Macquarie City Council,2022-23,"$13,402,343","$18,009,852",,,
New South Wales,Lake Macquarie City Council,2023-24,"$19,246,474","$20,055,911",,,
New South Wales,Lane Cove Municipal Council,2017-18,"$504,394","$1,024,517",,,
New South Wales,Lane Cove Municipal Council,2018-19,"$531,688","$1,091,065",,,
New South Wales,Lane Cove Municipal Council,2019-20,"$580,032","$1,124,846",,,
New South Wales,Lane Cove Municipal Council,2020-21,"$577,376","$1,135,220",,,
New South Wales,Lane Cove Municipal Council,2021-22,"$597,277","$1,222,170",,,
New South Wales,Lane Cove Municipal Council,2022-23,"$960,555","$1,315,886",,,
New South Wales,Lane Cove Municipal Council,2023-24,"$1,407,034","$1,476,678",,,
New South Wales,Leeton Shire Council,2017-18,"$1,981,160","$4,006,089",,,
New South Wales,Leeton Shire Council,2018-19,"$2,079,041","$4,267,271",,,
New South Wales,Leeton Shire Council,2019-20,"$2,268,985","$4,460,204",,,
New South Wales,Leeton Shire Council,2020-21,"$2,322,062","$4,537,491",,,
New South Wales,Leeton Shire Council,2021-22,"$2,371,810","$4,856,668",,,
New South Wales,Leeton Shire Council,2022-23,"$3,819,396","$5,291,484",,,
New South Wales,Leeton Shire Council,2023-24,"$5,659,358","$6,021,658",,,
New South Wales,Lismore City Council,2017-18,"$3,047,553","$6,160,901",,,
New South Wales,Lismore City Council,2018-19,"$3,197,160","$6,299,158",,,
New South Wales,Lismore City Council,2019-20,"$3,216,689","$6,397,461",,,
New South Wales,Lismore City Council,2020-21,"$3,371,372","$6,441,168",,,
New South Wales,Lismore City Council,2021-22,"$3,287,442","$6,738,435",,,
New South Wales,Lismore City Council,2022-23,"$5,306,423","$7,168,177",,,
New South Wales,Lismore City Council,2023-24,"$7,663,451","$8,070,214",,,
New South Wales,Liverpool City Council,2017-18,"$4,527,944","$8,700,267",,,
New South Wales,Liverpool City Council,2018-19,"$4,515,684","$8,827,031",,,
New South Wales,Liverpool City Council,2019-20,"$4,470,573","$8,797,339",,,
New South Wales,Liverpool City Council,2020-21,"$4,585,429","$8,865,524",,,
New South Wales,Liverpool City Council,2021-22,"$4,582,865","$9,241,197",,,
New South Wales,Liverpool City Council,2022-23,"$7,161,474","$9,646,346",,,
New South Wales,Liverpool City Council,2023-24,"$10,308,623","$10,527,843",,,
New South Wales,Liverpool Plains Shire Council,2017-18,"$1,736,411","$3,509,163",,,
New South Wales,Liverpool Plains Shire Council,2018-19,"$1,820,937","$3,728,094",,,
New South Wales,Liverpool Plains Shire Council,2019-20,"$1,977,759","$3,879,713",,,
New South Wales,Liverpool Plains Shire Council,2020-21,"$2,016,220","$3,936,166",,,
New South Wales,Liverpool Plains Shire Council,2021-22,"$2,056,399","$4,202,210",,,
New South Wales,Liverpool Plains Shire Council,2022-23,"$3,300,102","$4,565,418",,,
New South Wales,Liverpool Plains Shire Council,2023-24,"$4,883,174","$5,166,690",,,
New South Wales,Lockhart Shire Council,2017-18,"$1,864,331","$3,305,426",,,
New South Wales,Lockhart Shire Council,2018-19,"$1,715,366","$3,519,350",,,
New South Wales,Lockhart Shire Council,2019-20,"$1,870,785","$3,654,320",,,
New South Wales,Lockhart Shire Council,2020-21,"$1,890,769","$3,740,986",,,
New South Wales,Lockhart Shire Council,2021-22,"$1,981,758","$3,976,539",,,
New South Wales,Lockhart Shire Council,2022-23,"$3,068,094","$4,297,799",,,
New South Wales,Lockhart Shire Council,2023-24,"$4,596,499","$4,841,606",,,
New South Wales,Lord Howe Island Board,2017-18,"$104,693","$208,907",,,
New South Wales,Lord Howe Island Board,2018-19,"$108,445","$216,776",,,
New South Wales,Lord Howe Island Board,2019-20,"$112,306","$222,127",,,
New South Wales,Lord Howe Island Board,2020-21,"$116,301","$224,748",,,
New South Wales,Lord Howe Island Board,2021-22,"$116,003","$249,511",,,
New South Wales,Lord Howe Island Board,2022-23,"$204,986","$307,994",,,
New South Wales,Lord Howe Island Board,2023-24,"$330,121","$346,138",,,
New South Wales,Maitland City Council,2017-18,"$3,372,195","$6,822,792",,,
New South Wales,Maitland City Council,2018-19,"$3,541,028","$6,998,594",,,
New South Wales,Maitland City Council,2019-20,"$3,585,061","$7,099,925",,,
New South Wales,Maitland City Council,2020-21,"$3,724,291","$7,139,200",,,
New South Wales,Maitland City Council,2021-22,"$3,655,615","$7,439,806",,,
New South Wales,Maitland City Council,2022-23,"$5,815,747","$7,843,431",,,
New South Wales,Maitland City Council,2023-24,"$8,383,088","$8,758,281",,,
New South Wales,Mid-Coast Council,2017-18,"$8,579,214","$17,341,151",,,
New South Wales,Mid-Coast Council,2018-19,"$8,999,155","$17,812,423",,,
New South Wales,Mid-Coast Council,2019-20,"$9,139,079","$18,100,989",,,
New South Wales,Mid-Coast Council,2020-21,"$9,498,628","$18,246,074",,,
New South Wales,Mid-Coast Council,2021-22,"$9,367,411","$19,075,672",,,
New South Wales,Mid-Coast Council,2022-23,"$14,927,320","$20,233,938",,,
New South Wales,Mid-Coast Council,2023-24,"$21,630,941","$22,749,608",,,
New South Wales,Mid-Western Regional Council,2017-18,"$3,005,286","$6,086,583",,,
New South Wales,Mid-Western Regional Council,2018-19,"$3,158,375","$6,423,213",,,
New South Wales,Mid-Western Regional Council,2019-20,"$3,385,734","$6,671,561",,,
New South Wales,Mid-Western Regional Council,2020-21,"$3,483,336","$6,751,886",,,
New South Wales,Mid-Western Regional Council,2021-22,"$3,501,034","$7,151,923",,,
New South Wales,Mid-Western Regional Council,2022-23,"$5,615,169","$7,771,889",,,
New South Wales,Mid-Western Regional Council,2023-24,"$8,313,344","$8,774,095",,,
New South Wales,Moree Plains Shire Council,2017-18,"$3,601,880","$7,274,387",,,
New South Wales,Moree Plains Shire Council,2018-19,"$3,774,727","$7,718,269",,,
New South Wales,Moree Plains Shire Council,2019-20,"$4,089,539","$7,961,392",,,
New South Wales,Moree Plains Shire Council,2020-21,"$4,104,599","$8,134,720",,,
New South Wales,Moree Plains Shire Council,2021-22,"$4,316,566","$8,624,277",,,
New South Wales,Moree Plains Shire Council,2022-23,"$6,625,444","$9,259,379",,,
New South Wales,Moree Plains Shire Council,2023-24,"$9,901,446","$10,416,433",,,
New South Wales,Mosman Municipal Council,2017-18,"$432,698","$856,980",,,
New South Wales,Mosman Municipal Council,2018-19,"$444,753","$893,817",,,
New South Wales,Mosman Municipal Council,2019-20,"$465,646","$920,897",,,
New South Wales,Mosman Municipal Council,2020-21,"$482,470","$924,437",,,
New South Wales,Mosman Municipal Council,2021-22,"$473,209","$993,327",,,
New South Wales,Mosman Municipal Council,2022-23,"$799,515","$1,067,384",,,
New South Wales,Mosman Municipal Council,2023-24,"$1,141,251","$1,152,933",,,
New South Wales,Murray River Council,2017-18,"$3,908,223","$7,898,844",,,
New South Wales,Murray River Council,2018-19,"$4,098,850","$8,253,057",,,
New South Wales,Murray River Council,2019-20,"$4,307,972","$8,512,690",,,
